GenomeID	num_contigs	total_length	gc	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	PredictedMobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_cluster	GenomeID	clust_90	clust_91	clust_92	clust_93	clust_94	clust_95	clust_96	clust_97	clust_98	clust_99	clust_100
AB003193	1	1527	46.3654224	-	-	-	-	-	-	-	-	Non-mobilizable	AB003193	0	2088	AB003193	6577	6695	6831	7018	7237	7539	7891	8402	9154	10258	16846
AB018480	1	1823	50.02742732	-	-	-	-	-	-	-	-	Non-mobilizable	AB018480	0	8136	AB018480	293	299	314	328	344	364	378	404	434	466	681
AB018481	1	1910	47.32984293	-	-	-	-	-	-	-	-	Non-mobilizable	AB018481	0	8137	AB018481	6828	6946	7082	7269	7488	7790	8142	8653	9405	10509	17097
AB018669	1	2514	48.76690533	-	-	-	-	-	-	-	-	Non-mobilizable	AB018669	0	8138	AB018669	6223	6341	6477	6664	6883	7185	7537	8048	8800	9904	16492
AB040121	1	3325	39.42857143	Inc13	000057__AB040121_00003	MOBV	NC_002675_00003	-	-	-	-	Mobilizable	AB040121	0	2520	AB040121	6629	6747	6883	7070	7289	7591	7943	8454	9206	10310	16898
AB083655	1	8983	27.94166759	rep_cluster_1895	001330__CP009719	-	-	-	-	-	-	Non-mobilizable	AB083655	0	7171	AB083655	1344	1415	1485	1570	1674	1797	1922	2091	2271	2492	3823
AB182369	1	2617	53.76385174	-	-	-	-	-	-	-	-	Non-mobilizable	AB182369	0	8139	AB182369	2681	2788	2906	3060	3239	3486	3771	4179	4729	5504	10217
AB182370	1	13459	57.88691582	IncW	000213__AM901564_00031	-	-	-	-	-	-	Non-mobilizable	AB182370	0	139	AB182370	3042	3154	3283	3458	3659	3940	4269	4737	5406	6379	12224
AB244976	1	65998	60.22758265	rep_cluster_1617	001001__AB244976_00001	MOBP	AB244976	MPF_T	NZ_AGFM01000123_00020,NZ_AGFM01000123_00017,NZ_AGFM01000123_00016,NZ_AGFM01000123_00014,NZ_AGFM01000123_00011	MOBQ	NC_007594	Conjugative	AB244976	0	6251	AB244976	3065	3177	3307	3482	3683	3965	4299	4768	5440	6417	12275
AB254848	1	2756	30.62409289	rep_cluster_1017	AB254848	-	-	-	-	-	-	Non-mobilizable	AB254848	0	550	AB254848	1292	1360	1427	1507	1607	1724	1845	2008	2180	2381	3652
AB366441	1	61571	53.76232317	IncN	000155__CP018649	MOBF	NC_015599_00019	MPF_T	NC_009131_00030,NC_011617_00041,NC_014368_00014,NC_007682_00044,NC_008612_00190,NC_022375_00024	MOBF	NZ_CP013027	Conjugative	AB366441	0	140	AB366441	2667	2774	2892	3046	3224	3470	3754	4158	4706	5475	10093
AB370334	1	1815	37.24517906	Inc11	000036__NC_012548_00002	-	-	-	-	-	-	Non-mobilizable	AB370334	0	4793	AB370334	66	66	66	67	67	68	71	72	77	84	106
AB539725	1	2908	29.36726272	rep_cluster_1230	000530__NC_010626_00002	-	-	-	-	-	-	Non-mobilizable	AB539725	0	576	AB539725	98	99	101	103	107	110	114	119	128	138	193
AB588180	1	21231	36.06989779	rep_cluster_1618	001002__NC_015261_00002	MOBQ	NC_015257_00005	-	-	-	-	Mobilizable	AB588180	0	3595	AB588180	1727	1811	1902	2012	2141	2308	2474	2701	2974	3298	5154
AB597522	1	113463	69.69584799	rep_cluster_1915	001355__NC_004808_00101	MOBF	AB597522_00122	-	-	-	-	Mobilizable	AB597522	0	2424	AB597522	4167	4285	4421	4608	4827	5129	5481	5992	6744	7848	14436
AB616660	1	47236	50.99288678	IncN	000155__CP018649	MOBF	NC_015599_00019	MPF_T	NC_009131_00030,NC_011617_00041,NC_014368_00014,NC_007682_00044,NC_008612_00190,NC_022375_00024	MOBF	NZ_CP016498	Conjugative	AB616660	0	915	AB616660	3352	3469	3604	3788	4004	4303	4651	5152	5889	6960	13337
AB702969	1	165311	49.51757596	IncFIA	000136__AP014877_00014	MOBF	NC_022333_00006	MPF_F	NC_009787_00004,NZ_AGTD01000004_00104,NC_021871_00015,NC_022333_00014,NZ_AGTD01000004_00099,NC_021817_00023,NZ_AGTD01000004_00096,NZ_AGTD01000004_00094,NC_022333_00021,NZ_AGTD01000004_00091	-	-	Conjugative	AB702969	0	2382	AB702969	2650	2757	2875	3028	3204	3449	3730	4129	4670	5424	9926
AB715422	1	87343	53.2475413	IncL/M	U27345	MOBP	NC_004464_00056	MPF_I	NC_004464_00105,NC_005246_00057,NC_019063_00094,NC_019344_00078,NC_004464_00066,NC_004464_00068,NC_019154_00069,NC_005246_00069,NC_004464_00073	-	-	Conjugative	AB715422	0	1070	AB715422	2276	2374	2487	2618	2776	2986	3218	3543	3955	4472	7411
AB723628	1	31713	55.62072336	-	-	-	-	-	-	-	-	Non-mobilizable	AB723628	0	888	AB723628	3399	3517	3652	3838	4056	4357	4708	5215	5964	7054	13558
AB852526	1	59534	64.49927772	IncP	000177__AB237782_00014	MOBP	NC_001735_00050	MPF_T	NC_001735_00049,NC_008459_00022,NC_004956_00085,NC_007353_00043	MOBP	KU302802	Conjugative	AB852526	0	131	AB852526	3381	3498	3633	3817	4034	4333	4682	5186	5930	7010	13441
AB855771	1	265575	25.47905488	rep_cluster_1536	000900__AB855771_00213	-	-	MPF_T	NC_010418_00318,NC_012654_00215,NZ_AOSX01000021_00203	-	-	Non-mobilizable	AB855771	0	4922	AB855771	2411	2515	2630	2770	2937	3160	3412	3760	4202	4775	8115
AB856327	1	160406	42.58444198	rep_cluster_1134	000413__KX957972	MOBH	NC_016983_00061	MPF_F	NC_016983_00062,NC_016983_00068,NC_016983_00069,NC_016983_00071,NC_016983_00076,NC_016983_00079,NC_016983_00081,NC_016983_00200	-	-	Conjugative	AB856327	0	4210	AB856327	2742	2849	2967	3123	3304	3557	3844	4262	4855	5719	10785
AB893594	1	5420	62.34317343	rep_cluster_1626	001016__AP008933_00001	-	-	-	-	-	-	Non-mobilizable	AB893594	0	5400	AB893594	1429	1502	1577	1666	1774	1903	2035	2214	2408	2644	4085
AB905437	1	17526	69.68503937	rep_cluster_249	001526__AB905437_00009	-	-	-	-	-	-	Non-mobilizable	AB905437	0	8140	AB905437	4260	4378	4514	4701	4920	5222	5574	6085	6837	7941	14529
AB910391	1	21001	27.14632637	rep_cluster_958	002439__AB910391_00009	-	-	-	-	-	-	Non-mobilizable	AB910391	0	4125	AB910391	1616	1691	1777	1877	1996	2146	2299	2506	2742	3027	4680
AB910520	1	21001	27.15108804	rep_cluster_958	002439__AB910391_00009	-	-	-	-	-	-	Non-mobilizable	AB910520	0	4125	AB910520	1616	1691	1777	1877	1996	2146	2299	2506	2742	3027	4681
AB914479	1	27115	35.31255762	rep_cluster_1618,rep_cluster_1328	001002__NC_015261_00002,000647__CP018212_00009	MOBQ	NC_015257_00005	-	-	-	-	Mobilizable	AB914479	0	3593	AB914479	1551	1626	1709	1807	1921	2062	2206	2405	2622	2884	4472
AB914743	1	28689	35.6129527	rep_cluster_1618,rep_cluster_1328	001002__NC_015261_00002,000647__CP018212_00009	MOBQ	NC_015257_00005	-	-	-	-	Mobilizable	AB914743	0	3593	AB914743	1551	1626	1709	1807	1921	2062	2206	2405	2622	2884	4471
AB931111	1	15929	41.84192354	-	-	-	-	-	-	-	-	Non-mobilizable	AB931111	0	5111	AB931111	6254	6372	6508	6695	6914	7216	7568	8079	8831	9935	16523
AB972537	1	2524	51.50554675	-	-	-	-	-	-	-	-	Non-mobilizable	AB972537	0	8141	AB972537	6832	6950	7086	7273	7492	7794	8146	8657	9409	10513	17101
AB972538	1	7187	51.0922499	rep_cluster_1911	001351__AB972538	MOBQ	CP025271_00003	-	-	-	-	Mobilizable	AB972538	0	7485	AB972538	246	252	265	277	292	310	322	345	372	401	573
AB972539	1	5537	55.21040275	rep_cluster_1574	000948__AB972539_00003	-	-	-	-	-	-	Non-mobilizable	AB972539	0	6000	AB972539	6347	6465	6601	6788	7007	7309	7661	8172	8924	10028	16616
AB981620	1	5845	67.45936698	-	-	-	-	-	-	-	-	Non-mobilizable	AB981620	0	5992	AB981620	4101	4219	4355	4542	4761	5063	5415	5926	6678	7782	14370
AB983195	1	2908	29.29848693	rep_cluster_1230	000530__NC_010626_00002	-	-	-	-	-	-	Non-mobilizable	AB983195	0	576	AB983195	98	99	101	103	107	110	114	119	128	138	194
AB987830	1	4301	61.35782376	rep_cluster_1414	000754__AB987830_00001	-	-	-	-	-	-	Non-mobilizable	AB987830	0	8142	AB987830	6803	6921	7057	7244	7463	7765	8117	8628	9380	10484	17072
AE000784	1	28601	25.04108248	-	-	-	-	-	-	-	-	Non-mobilizable	AE000784	0	3855	AE000784	1950	2037	2136	2254	2392	2577	2771	3040	3361	3740	5960
AE000785	1	24177	23.34863713	-	-	-	-	-	-	-	-	Non-mobilizable	AE000785	0	3853	AE000785	1927	2014	2111	2228	2366	2547	2739	3006	3325	3701	5868
AE000787	1	38829	26.06814494	-	-	-	-	-	-	-	-	Non-mobilizable	AE000787	0	4113	AE000787	2020	2113	2217	2339	2482	2672	2875	3161	3515	3934	6403
AE001583	1	5228	23.81407804	-	-	-	-	-	-	-	-	Non-mobilizable	AE001583	0	3865	AE001583	1507	1582	1664	1761	1875	2013	2152	2345	2559	2816	4374
AE001826	1	177466	63.19238615	-	-	MOBP	NC_000958_00019	-	-	-	-	Mobilizable	AE001826	0	4563	AE001826	3046	3158	3287	3462	3663	3944	4274	4742	5412	6386	12232
AE001827	1	45704	56.1635743	-	-	-	-	-	-	-	-	Non-mobilizable	AE001827	0	7287	AE001827	2856	2965	3088	3251	3440	3702	4000	4435	5058	5960	11404
AE008924	1	33700	61.86350148	rep_cluster_429	001763__NC_003922_00014	-	-	-	-	-	-	Non-mobilizable	AE008924	0	3172	AE008924	3306	3422	3555	3739	3953	4250	4595	5090	5819	6879	13169
AE017195	1	208369	33.43971512	rep_cluster_125	000558__CP013279	-	-	MPF_unknown	NC_017203_00099,NC_018501_00133	-	-	Non-mobilizable	AE017195	0	3256	AE017195	2310	2409	2523	2658	2819	3031	3270	3606	4032	4580	7677
AF003958	1	6076	39.25279789	-	-	MOBP	AF003958_00007	-	-	MOBP	NC_013366	Mobilizable	AF003958	0	2428	AF003958	2012	2105	2209	2330	2472	2661	2863	3147	3498	3915	6373
AF019744	1	3300	43.87878788	-	-	-	-	-	-	-	-	Non-mobilizable	AF019744	0	1279	AF019744	5683	5801	5937	6124	6343	6645	6997	7508	8260	9364	15952
AF028735	1	1987	31.45445395	-	-	-	-	-	-	-	-	Non-mobilizable	AF028735	0	8143	AF028735	1652	1729	1816	1919	2040	2197	2356	2566	2811	3103	4804
AF030624	1	1680	38.75	Inc13	000070__AF030624_00001	-	-	-	-	-	-	Non-mobilizable	AF030624	0	6299	AF030624	863	895	940	991	1042	1107	1169	1248	1338	1445	2214
AF036712	1	7028	36.88104724	Inc13	000073__AF036712_00003	MOBV	NC_001858_00003	-	-	-	-	Mobilizable	AF036712	0	541	AF036712	701	729	767	806	847	900	950	1020	1089	1175	1773
AF065242	1	38235	54.14933961	-	-	-	-	-	-	-	-	Non-mobilizable	AF065242	0	7108	AF065242	2026	2119	2223	2345	2488	2679	2882	3168	3523	3943	6419
AF128883	1	20719	28.59694001	rep_cluster_1733,rep_cluster_2214	BX571858,AP003139	-	-	-	-	-	-	Non-mobilizable	AF128883	0	2968	AF128883	1712	1796	1886	1996	2125	2292	2457	2681	2950	3269	5097
AF141883	1	10968	54.13931437	-	-	-	-	-	-	-	-	Non-mobilizable	AF141883	0	5536	AF141883	2596	2703	2821	2974	3147	3389	3660	4041	4543	5225	9285
