GenomeID	num_contigs	total_length	gc	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	PredictedMobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_cluster	GenomeID	clust_90	clust_91	clust_92	clust_93	clust_94	clust_95	clust_96	clust_97	clust_98	clust_99	clust_100
AB003193	1	1527	46.3654224	-	-	-	-	-	-	-	-	Non-mobilizable	AB003193	0	2088	AB003193	3168	3262	3358	3490	3647	3847	4113	4479	4927	5576	8788
AB018480	1	1823	50.02742732	-	-	-	-	-	-	-	-	Non-mobilizable	AB018480	0	8136	AB018480	113	119	127	137	149	161	179	198	219	242	400
AB018481	1	1910	47.32984293	-	-	-	-	-	-	-	-	Non-mobilizable	AB018481	0	8137	AB018481	29	33	39	46	54	61	69	75	82	91	142
AB018669	1	2514	48.76690533	-	-	-	-	-	-	-	-	Non-mobilizable	AB018669	0	8138	AB018669	6110	6236	6364	6549	6774	7059	7419	7928	8642	9750	16662
AB040121	1	3325	39.42857143	Inc13	000057__AB040121_00003	MOBV	NC_002675_00003	-	-	-	-	Mobilizable	AB040121	0	2520	AB040121	1249	1282	1318	1371	1440	1511	1621	1761	1922	2119	2928
AB083655	1	8983	27.94166759	rep_cluster_1895	001330__CP009719	-	-	-	-	-	-	Non-mobilizable	AB083655	0	7171	AB083655	1653	1699	1750	1815	1899	1994	2135	2314	2527	2816	4313
AB182369	1	2617	53.76385174	-	-	-	-	-	-	-	-	Non-mobilizable	AB182369	0	8139	AB182369	2924	3013	3103	3223	3366	3551	3796	4106	4457	4950	7547
AB182370	1	13459	57.88691582	IncW	000213__AM901564_00031	-	-	-	-	-	-	Non-mobilizable	AB182370	0	139	AB182370	2924	3013	3103	3223	3366	3550	3795	4105	4456	4949	7541
AB244976	1	65998	60.22758265	rep_cluster_1617	001001__AB244976_00001	MOBP	AB244976	MPF_T	NZ_AGFM01000123_00020,NZ_AGFM01000123_00017,NZ_AGFM01000123_00016,NZ_AGFM01000123_00014,NZ_AGFM01000123_00011	MOBQ	NC_007594	Conjugative	AB244976	0	6251	AB244976	2619	2697	2778	2882	3008	3167	3382	3651	3954	4366	6477
AB254848	1	2756	30.62409289	rep_cluster_1017	AB254848	-	-	-	-	-	-	Non-mobilizable	AB254848	0	550	AB254848	1452	1491	1533	1593	1670	1753	1881	2048	2242	2505	3821
AB366441	1	61571	53.76232317	IncN	000155__CP018649	MOBF	NC_015599_00019	MPF_T	NC_009131_00030,NC_011617_00041,NC_014368_00014,NC_007682_00044,NC_008612_00190,NC_022375_00024	MOBF	NZ_CP013027	Conjugative	AB366441	0	140	AB366441	3397	3500	3609	3763	3944	4179	4484	4905	5422	6149	10337
AB370334	1	1815	37.24517906	Inc11	000036__NC_012548_00002	-	-	-	-	-	-	Non-mobilizable	AB370334	0	4793	AB370334	1073	1092	1117	1159	1217	1275	1369	1481	1612	1766	2404
