GenomeID	num_contigs	total_length	gc	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	PredictedMobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_cluster	GenomeID	clust_0.1	clust_0.09	clust_0.08	clust_0.07	clust_0.06	clust_0.05	clust_0.04	clust_0.03	clust_0.02	clust_0.01	clust_0
AB003193	1	1527	46.3654224	-	-	-	-	-	-	-	-	Non-mobilizable	AB003193	0	2088	AB003193	4450	4704	4997	5326	5676	6078	6588	7182	7883	8902	12647
AB018480	1	1823	50.02742732	-	-	-	-	-	-	-	-	Non-mobilizable	AB018480	0	8136	AB018480	20	20	20	21	21	22	24	27	33	55	217
AB018481	1	1910	47.32984293	-	-	-	-	-	-	-	-	Non-mobilizable	AB018481	0	8137	AB018481	21	21	21	22	22	23	25	28	34	56	218
AB018669	1	2514	48.76690533	-	-	-	-	-	-	-	-	Non-mobilizable	AB018669	0	8138	AB018669	5200	5497	5858	6270	6744	7291	7963	8786	9839	11391	17028
AB040121	1	3325	39.42857143	Inc13	000057__AB040121_00003	MOBV	NC_002675_00003	-	-	-	-	Mobilizable	AB040121	0	2520	AB040121	4206	4436	4694	4989	5294	5638	6090	6608	7203	8054	11213
AB083655	1	8983	27.94166759	rep_cluster_1895	001330__CP009719	-	-	-	-	-	-	Non-mobilizable	AB083655	0	7171	AB083655	931	968	999	1037	1070	1105	1147	1205	1287	1414	1975
AB182369	1	2617	53.76385174	-	-	-	-	-	-	-	-	Non-mobilizable	AB182369	0	8139	AB182369	5201	5498	5859	6271	6745	7292	7964	8787	9840	11392	17029
AB182370	1	13459	57.88691582	IncW	000213__AM901564_00031	-	-	-	-	-	-	Non-mobilizable	AB182370	0	139	AB182370	4889	5183	5539	5940	6398	6928	7575	8361	9368	10856	16338
AB244976	1	65998	60.22758265	rep_cluster_1617	001001__AB244976_00001	MOBP	AB244976	MPF_T	NZ_AGFM01000123_00020,NZ_AGFM01000123_00017,NZ_AGFM01000123_00016,NZ_AGFM01000123_00014,NZ_AGFM01000123_00011	MOBQ	NC_007594	Conjugative	AB244976	0	6251	AB244976	1750	1824	1881	1959	2027	2097	2195	2308	2468	2692	3732
AB254848	1	2756	30.62409289	rep_cluster_1017	AB254848	-	-	-	-	-	-	Non-mobilizable	AB254848	0	550	AB254848	2777	2902	3012	3137	3272	3418	3620	3842	4112	4496	5998
AB366441	1	61571	53.76232317	IncN	000155__CP018649	MOBF	NC_015599_00019	MPF_T	NC_009131_00030,NC_011617_00041,NC_014368_00014,NC_007682_00044,NC_008612_00190,NC_022375_00024	MOBF	NZ_CP013027	Conjugative	AB366441	0	140	AB366441	4794	5079	5419	5811	6253	6766	7390	8145	9107	10510	15686
