GenomeID	num_contigs	total_length	gc	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	PredictedMobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_cluster	GenomeID	clust_0.1	clust_0.09	clust_0.08	clust_0.07	clust_0.06	clust_0.05	clust_0.04	clust_0.03	clust_0.02	clust_0.01	clust_0
AB003193	1	1527	46.3654224	-	-	-	-	-	-	-	-	Non-mobilizable	AB003193	0	2088	AB003193	42	43	43	44	48	50	52	57	60	69	130
AB018480	1	1823	50.02742732	-	-	-	-	-	-	-	-	Non-mobilizable	AB018480	0	8136	AB018480	4915	5261	5620	6004	6471	7025	7681	8516	9615	11240	17090
AB018481	1	1910	47.32984293	-	-	-	-	-	-	-	-	Non-mobilizable	AB018481	0	8137	AB018481	4916	5262	5621	6005	6472	7026	7682	8517	9616	11241	17091
AB018669	1	2514	48.76690533	-	-	-	-	-	-	-	-	Non-mobilizable	AB018669	0	8138	AB018669	231	241	243	246	253	257	265	276	281	292	369
AB040121	1	3325	39.42857143	Inc13	000057__AB040121_00003	MOBV	NC_002675_00003	-	-	-	-	Mobilizable	AB040121	0	2520	AB040121	4360	4698	5044	5414	5863	6407	7048	7869	8959	10574	16359
AB083655	1	8983	27.94166759	rep_cluster_1895	001330__CP009719	-	-	-	-	-	-	Non-mobilizable	AB083655	0	7171	AB083655	3599	3849	4084	4338	4663	5038	5496	6125	7013	8398	13227
AB182369	1	2617	53.76385174	-	-	-	-	-	-	-	-	Non-mobilizable	AB182369	0	8139	AB182369	2299	2466	2618	2771	2968	3189	3440	3782	4194	4763	6908
AB182370	1	13459	57.88691582	IncW	000213__AM901564_00031	-	-	-	-	-	-	Non-mobilizable	AB182370	0	139	AB182370	2298	2465	2617	2770	2967	3188	3439	3781	4193	4762	6907
AB244976	1	65998	60.22758265	rep_cluster_1617	001001__AB244976_00001	MOBP	AB244976	MPF_T	NZ_AGFM01000123_00020,NZ_AGFM01000123_00017,NZ_AGFM01000123_00016,NZ_AGFM01000123_00014,NZ_AGFM01000123_00011	MOBQ	NC_007594	Conjugative	AB244976	0	6251	AB244976	1721	1826	1913	1985	2080	2178	2303	2473	2658	2914	3875
AB254848	1	2756	30.62409289	rep_cluster_1017	AB254848	-	-	-	-	-	-	Non-mobilizable	AB254848	0	550	AB254848	4271	4597	4931	5293	5729	6247	6863	7658	8718	10289	15777
AB366441	1	61571	53.76232317	IncN	000155__CP018649	MOBF	NC_015599_00019	MPF_T	NC_009131_00030,NC_011617_00041,NC_014368_00014,NC_007682_00044,NC_008612_00190,NC_022375_00024	MOBF	NZ_CP013027	Conjugative	AB366441	0	140	AB366441	2411	2600	2779	2959	3202	3483	3811	4262	4868	5748	8947
AB370334	1	1815	37.24517906	Inc11	000036__NC_012548_00002	-	-	-	-	-	-	Non-mobilizable	AB370334	0	4793	AB370334	3806	4075	4330	4610	4950	5342	5819	6483	7413	8846	13865
AB539725	1	2908	29.36726272	rep_cluster_1230	000530__NC_010626_00002	-	-	-	-	-	-	Non-mobilizable	AB539725	0	576	AB539725	4265	4588	4919	5280	5712	6225	6837	7627	8685	10252	15716
