GenomeID	num_contigs	total_length	gc	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	PredictedMobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_cluster	GenomeID	clust_90	clust_91	clust_92	clust_93	clust_94	clust_95	clust_96	clust_97	clust_98	clust_99	clust_100
AB003193	1	1527	46.3654224	-	-	-	-	-	-	-	-	Non-mobilizable	AB003193	0	2088	AB003193	1970	2111	2267	2480	2745	3093	3518	4129	4926	6122	13370
AB018480	1	1823	50.02742732	-	-	-	-	-	-	-	-	Non-mobilizable	AB018480	0	8136	AB018480	1977	2118	2274	2487	2752	3100	3525	4136	4933	6129	13377
AB018481	1	1910	47.32984293	-	-	-	-	-	-	-	-	Non-mobilizable	AB018481	0	8137	AB018481	1651	1792	1948	2161	2426	2774	3199	3810	4607	5803	13051
AB018669	1	2514	48.76690533	-	-	-	-	-	-	-	-	Non-mobilizable	AB018669	0	8138	AB018669	3997	4138	4294	4507	4772	5120	5545	6156	6953	8149	15397
AB040121	1	3325	39.42857143	Inc13	000057__AB040121_00003	MOBV	NC_002675_00003	-	-	-	-	Mobilizable	AB040121	0	2520	AB040121	1658	1799	1955	2168	2433	2781	3206	3817	4614	5810	13058
AB083655	1	8983	27.94166759	rep_cluster_1895	001330__CP009719	-	-	-	-	-	-	Non-mobilizable	AB083655	0	7171	AB083655	1217	1281	1355	1457	1570	1706	1861	2062	2289	2590	3840
AB182369	1	2617	53.76385174	-	-	-	-	-	-	-	-	Non-mobilizable	AB182369	0	8139	AB182369	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	10718
AB182370	1	13459	57.88691582	IncW	000213__AM901564_00031	-	-	-	-	-	-	Non-mobilizable	AB182370	0	139	AB182370	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	8611
AB244976	1	65998	60.22758265	rep_cluster_1617	001001__AB244976_00001	MOBP	AB244976	MPF_T	NZ_AGFM01000123_00020,NZ_AGFM01000123_00017,NZ_AGFM01000123_00016,NZ_AGFM01000123_00014,NZ_AGFM01000123_00011	MOBQ	NC_007594	Conjugative	AB244976	0	6251	AB244976	1364	1467	1574	1732	1922	2182	2502	2888	3286	3729	5614
AB254848	1	2756	30.62409289	rep_cluster_1017	AB254848	-	-	-	-	-	-	Non-mobilizable	AB254848	0	550	AB254848	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	11353
AB366441	1	61571	53.76232317	IncN	000155__CP018649	MOBF	NC_015599_00019	MPF_T	NC_009131_00030,NC_011617_00041,NC_014368_00014,NC_007682_00044,NC_008612_00190,NC_022375_00024	MOBF	NZ_CP013027	Conjugative	AB366441	0	140	AB366441	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	9750
AB370334	1	1815	37.24517906	Inc11	000036__NC_012548_00002	-	-	-	-	-	-	Non-mobilizable	AB370334	0	4793	AB370334	1364	1467	1574	1732	1900	2087	2296	2558	2844	3193	4711
AB539725	1	2908	29.36726272	rep_cluster_1230	000530__NC_010626_00002	-	-	-	-	-	-	Non-mobilizable	AB539725	0	576	AB539725	1364	1467	1574	1732	1922	2182	2502	2965	3462	3968	6064
AB588180	1	21231	36.06989779	rep_cluster_1618	001002__NC_015261_00002	MOBQ	NC_015257_00005	-	-	-	-	Mobilizable	AB588180	0	3595	AB588180	1364	1446	1536	1661	1795	1957	2132	2356	2602	2918	4294
AB597522	1	113463	69.69584799	rep_cluster_1915	001355__NC_004808_00101	MOBF	AB597522_00122	-	-	-	-	Mobilizable	AB597522	0	2424	AB597522	2722	2863	3019	3232	3497	3845	4270	4881	5678	6874	14122
AB616660	1	47236	50.99288678	IncN	000155__CP018649	MOBF	NC_015599_00019	MPF_T	NC_009131_00030,NC_011617_00041,NC_014368_00014,NC_007682_00044,NC_008612_00190,NC_022375_00024	MOBF	NZ_CP016498	Conjugative	AB616660	0	915	AB616660	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	9040
AB702969	1	165311	49.51757596	IncFIA	000136__AP014877_00014	MOBF	NC_022333_00006	MPF_F	NC_009787_00004,NZ_AGTD01000004_00104,NC_021871_00015,NC_022333_00014,NZ_AGTD01000004_00099,NC_021817_00023,NZ_AGTD01000004_00096,NZ_AGTD01000004_00094,NC_022333_00021,NZ_AGTD01000004_00091	-	-	Conjugative	AB702969	0	2382	AB702969	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	7308
AB715422	1	87343	53.2475413	IncL/M	U27345	MOBP	NC_004464_00056	MPF_I	NC_004464_00105,NC_005246_00057,NC_019063_00094,NC_019344_00078,NC_004464_00066,NC_004464_00068,NC_019154_00069,NC_005246_00069,NC_004464_00073	-	-	Conjugative	AB715422	0	1070	AB715422	1364	1467	1574	1732	1922	2182	2502	2965	3549	4424	11665
AB723628	1	31713	55.62072336	-	-	-	-	-	-	-	-	Non-mobilizable	AB723628	0	888	AB723628	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	9750
AB852526	1	59534	64.49927772	IncP	000177__AB237782_00014	MOBP	NC_001735_00050	MPF_T	NC_001735_00049,NC_008459_00022,NC_004956_00085,NC_007353_00043	MOBP	KU302802	Conjugative	AB852526	0	131	AB852526	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	7871
AB855771	1	265575	25.47905488	rep_cluster_1536	000900__AB855771_00213	-	-	MPF_T	NC_010418_00318,NC_012654_00215,NZ_AOSX01000021_00203	-	-	Non-mobilizable	AB855771	0	4922	AB855771	1064	1103	1152	1222	1304	1406	1522	1635	1802	2023	2857
AB856327	1	160406	42.58444198	rep_cluster_1134	000413__KX957972	MOBH	NC_016983_00061	MPF_F	NC_016983_00062,NC_016983_00068,NC_016983_00069,NC_016983_00071,NC_016983_00076,NC_016983_00079,NC_016983_00081,NC_016983_00200	-	-	Conjugative	AB856327	0	4210	AB856327	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	8562
AB893594	1	5420	62.34317343	rep_cluster_1626	001016__AP008933_00001	-	-	-	-	-	-	Non-mobilizable	AB893594	0	5400	AB893594	535	553	576	606	645	686	726	770	856	962	1401
AB905437	1	17526	69.68503937	rep_cluster_249	001526__AB905437_00009	-	-	-	-	-	-	Non-mobilizable	AB905437	0	8140	AB905437	2772	2913	3069	3282	3547	3895	4320	4931	5728	6924	14172
AB910391	1	21001	27.14632637	rep_cluster_958	002439__AB910391_00009	-	-	-	-	-	-	Non-mobilizable	AB910391	0	4125	AB910391	799	825	861	914	976	1047	1129	1209	1335	1494	2129
AB910520	1	21001	27.15108804	rep_cluster_958	002439__AB910391_00009	-	-	-	-	-	-	Non-mobilizable	AB910520	0	4125	AB910520	799	825	861	914	976	1047	1129	1209	1335	1494	2130
AB914479	1	27115	35.31255762	rep_cluster_1618,rep_cluster_1328	001002__NC_015261_00002,000647__CP018212_00009	MOBQ	NC_015257_00005	-	-	-	-	Mobilizable	AB914479	0	3593	AB914479	60	63	63	65	67	70	71	73	78	80	129
AB914743	1	28689	35.6129527	rep_cluster_1618,rep_cluster_1328	001002__NC_015261_00002,000647__CP018212_00009	MOBQ	NC_015257_00005	-	-	-	-	Mobilizable	AB914743	0	3593	AB914743	60	63	63	65	67	70	71	73	78	80	128
AB931111	1	15929	41.84192354	-	-	-	-	-	-	-	-	Non-mobilizable	AB931111	0	5111	AB931111	4018	4159	4315	4528	4793	5141	5566	6177	6974	8170	15418
AB972537	1	2524	51.50554675	-	-	-	-	-	-	-	-	Non-mobilizable	AB972537	0	8141	AB972537	4442	4583	4739	4952	5217	5565	5990	6601	7398	8594	15842
AB972538	1	7187	51.0922499	rep_cluster_1911	001351__AB972538	MOBQ	CP025271_00003	-	-	-	-	Mobilizable	AB972538	0	7485	AB972538	21	22	22	22	23	23	23	24	26	28	58
AB972539	1	5537	55.21040275	rep_cluster_1574	000948__AB972539_00003	-	-	-	-	-	-	Non-mobilizable	AB972539	0	6000	AB972539	4081	4222	4378	4591	4856	5204	5629	6240	7037	8233	15481
AB981620	1	5845	67.45936698	-	-	-	-	-	-	-	-	Non-mobilizable	AB981620	0	5992	AB981620	2679	2820	2976	3189	3454	3802	4227	4838	5635	6831	14079
AB983195	1	2908	29.29848693	rep_cluster_1230	000530__NC_010626_00002	-	-	-	-	-	-	Non-mobilizable	AB983195	0	576	AB983195	1364	1467	1574	1732	1922	2182	2502	2965	3462	3968	6067
AB987830	1	4301	61.35782376	rep_cluster_1414	000754__AB987830_00001	-	-	-	-	-	-	Non-mobilizable	AB987830	0	8142	AB987830	4419	4560	4716	4929	5194	5542	5967	6578	7375	8571	15819
AE000784	1	28601	25.04108248	-	-	-	-	-	-	-	-	Non-mobilizable	AE000784	0	3855	AE000784	1106	1149	1203	1274	1358	1463	1588	1709	1884	2121	3019
AE000785	1	24177	23.34863713	-	-	-	-	-	-	-	-	Non-mobilizable	AE000785	0	3853	AE000785	1109	1152	1206	1278	1362	1467	1592	1714	1889	2130	3042
AE000787	1	38829	26.06814494	-	-	-	-	-	-	-	-	Non-mobilizable	AE000787	0	4113	AE000787	1107	1150	1204	1275	1359	1464	1589	1710	1885	2124	3027
AE001583	1	5228	23.81407804	-	-	-	-	-	-	-	-	Non-mobilizable	AE001583	0	3865	AE001583	1118	1167	1226	1302	1390	1499	1635	1815	2016	2277	3250
AE001826	1	177466	63.19238615	-	-	MOBP	NC_000958_00019	-	-	-	-	Mobilizable	AE001826	0	4563	AE001826	309	322	333	348	373	397	418	444	477	523	758
AE001827	1	45704	56.1635743	-	-	-	-	-	-	-	-	Non-mobilizable	AE001827	0	7287	AE001827	272	281	288	303	325	347	367	390	417	447	657
AE008924	1	33700	61.86350148	rep_cluster_429	001763__NC_003922_00014	-	-	-	-	-	-	Non-mobilizable	AE008924	0	3172	AE008924	506	524	545	574	609	649	687	728	807	908	1318
AE017195	1	208369	33.43971512	rep_cluster_125	000558__CP013279	-	-	MPF_unknown	NC_017203_00099,NC_018501_00133	-	-	Non-mobilizable	AE017195	0	3256	AE017195	1364	1467	1574	1732	1922	2151	2377	2655	2958	3328	4937
AF003958	1	6076	39.25279789	-	-	MOBP	AF003958_00007	-	-	MOBP	NC_013366	Mobilizable	AF003958	0	2428	AF003958	187	194	200	210	228	247	258	268	282	292	437
AF019744	1	3300	43.87878788	-	-	-	-	-	-	-	-	Non-mobilizable	AF019744	0	1279	AF019744	1018	1057	1104	1173	1255	1356	1469	1574	1736	1950	2767
AF028735	1	1987	31.45445395	-	-	-	-	-	-	-	-	Non-mobilizable	AF028735	0	8143	AF028735	979	1013	1053	1113	1188	1281	1386	1486	1634	1833	2563
AF030624	1	1680	38.75	Inc13	000070__AF030624_00001	-	-	-	-	-	-	Non-mobilizable	AF030624	0	6299	AF030624	985	1019	1059	1119	1194	1288	1393	1493	1641	1840	2576
AF036712	1	7028	36.88104724	Inc13	000073__AF036712_00003	MOBV	NC_001858_00003	-	-	-	-	Mobilizable	AF036712	0	541	AF036712	99	103	103	108	114	120	123	129	135	137	205
AF065242	1	38235	54.14933961	-	-	-	-	-	-	-	-	Non-mobilizable	AF065242	0	7108	AF065242	1364	1467	1574	1732	1922	2182	2471	2793	3134	3536	5263
AF128883	1	20719	28.59694001	rep_cluster_1733,rep_cluster_2214	BX571858,AP003139	-	-	-	-	-	-	Non-mobilizable	AF128883	0	2968	AF128883	1364	1467	1574	1732	1922	2182	2502	2965	3549	4412	10982
AF141883	1	10968	54.13931437	-	-	-	-	-	-	-	-	Non-mobilizable	AF141883	0	5536	AF141883	1364	1467	1574	1718	1871	2048	2243	2484	2756	3091	4573
AF149757	1	6886	44.35085681	-	-	-	-	-	-	-	-	Non-mobilizable	AF149757	0	4879	AF149757	4094	4235	4391	4604	4869	5217	5642	6253	7050	8246	15494
AF164559	1	9328	37.19982847	rep_cluster_1070	000318__NC_005010_00009	MOBP	NC_005010_00008	-	-	-	-	Mobilizable	AF164559	0	8144	AF164559	1608	1749	1905	2118	2383	2731	3156	3767	4564	5759	13006
AF176225	1	1511	47.12111185	-	-	-	-	-	-	-	-	Non-mobilizable	AF176225	0	8145	AF176225	428	443	459	482	513	544	573	607	663	741	1044
AF200347	1	18664	34.3281183	-	-	-	-	-	-	-	-	Non-mobilizable	AF200347	0	4514	AF200347	1364	1467	1574	1732	1922	2182	2592	3203	4000	5193	12434
AF233873	1	1995	42.45614035	-	-	-	-	-	-	-	-	Non-mobilizable	AF233873	0	8146	AF233873	4236	4377	4533	4746	5011	5359	5784	6395	7192	8388	15636
AF236060	1	6127	44.88330341	rep_cluster_64	002093__AF109691_00007	-	-	-	-	-	-	Non-mobilizable	AF236060	0	4630	AF236060	214	222	229	241	261	283	300	315	333	352	525
AF244083	1	4807	51.15456626	rep_cluster_2358	CP000974_00005	-	-	-	-	-	-	Non-mobilizable	AF244083	0	1841	AF244083	1364	1467	1574	1724	1877	2060	2260	2514	2794	3138	4636
AF244084	1	5643	51.12528797	rep_cluster_1164	000444__AF244084_00005	-	-	-	-	-	-	Non-mobilizable	AF244084	0	1838	AF244084	1364	1460	1554	1683	1824	1995	2181	2410	2670	2997	4429
AF264948	1	28185	50.2111052	rep_cluster_1099	000354__NC_018978_00001	-	-	-	-	-	-	Non-mobilizable	AF264948	0	2496	AF264948	202	210	216	228	247	269	284	297	312	328	491
AF292711	1	8720	24.28899083	-	-	-	-	-	-	-	-	Non-mobilizable	AF292711	0	2279	AF292711	1099	1140	1191	1261	1345	1450	1574	1693	1867	2091	2954
AF302424	1	25407	39.01680639	rep_cluster_1012	000246__KX753679_00001	MOBP	NC_002579_00003	MPF_T	NC_002579_00023,NC_002579_00026,NC_002579_00027,NC_021724_00034,NC_002579_00032	-	-	Conjugative	AF302424	0	2936	AF302424	1263	1329	1407	1513	1630	1779	1944	2152	2384	2689	3969
AF305615	1	4675	42.88770053	-	-	MOBF	NC_002632_00006	-	-	-	-	Mobilizable	AF305615	0	1400	AF305615	3890	4031	4187	4400	4665	5013	5438	6049	6846	8042	15290
