GenomeID	num_contigs	total_length	gc	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	PredictedMobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_cluster	GenomeID	clust_0.1	clust_0.09	clust_0.08	clust_0.07	clust_0.06	clust_0.05	clust_0.04	clust_0.03	clust_0.02	clust_0.01	clust_0
AB003193	1	1527	46.3654224	-	-	-	-	-	-	-	-	Non-mobilizable	AB003193	0	2088	AB003193	688	723	731	759	781	807	842	882	911	968	1233
AB018480	1	1823	50.02742732	-	-	-	-	-	-	-	-	Non-mobilizable	AB018480	0	8136	AB018480	1	1	1	1	1	1	1	1	1	1	1
AB018481	1	1910	47.32984293	-	-	-	-	-	-	-	-	Non-mobilizable	AB018481	0	8137	AB018481	2	2	2	2	2	2	2	2	2	2	2
AB018669	1	2514	48.76690533	-	-	-	-	-	-	-	-	Non-mobilizable	AB018669	0	8138	AB018669	3496	3853	4226	4698	5274	5973	6799	7712	8947	10724	17064
AB040121	1	3325	39.42857143	Inc13	000057__AB040121_00003	MOBV	NC_002675_00003	-	-	-	-	Mobilizable	AB040121	0	2520	AB040121	1154	1233	1292	1373	1470	1549	1635	1771	1939	2144	2872
AB083655	1	8983	27.94166759	rep_cluster_1895	001330__CP009719	-	-	-	-	-	-	Non-mobilizable	AB083655	0	7171	AB083655	2054	2196	2315	2445	2599	2738	2899	3117	3382	3719	4787
AB182369	1	2617	53.76385174	-	-	-	-	-	-	-	-	Non-mobilizable	AB182369	0	8139	AB182369	2264	2522	2893	3362	3937	4635	5459	6372	7605	9379	15711
AB182370	1	13459	57.88691582	IncW	000213__AM901564_00031	-	-	-	-	-	-	Non-mobilizable	AB182370	0	139	AB182370	2264	2518	2787	3127	3564	3987	4423	4900	5432	6039	8195
AB244976	1	65998	60.22758265	rep_cluster_1617	001001__AB244976_00001	MOBP	AB244976	MPF_T	NZ_AGFM01000123_00020,NZ_AGFM01000123_00017,NZ_AGFM01000123_00016,NZ_AGFM01000123_00014,NZ_AGFM01000123_00011	MOBQ	NC_007594	Conjugative	AB244976	0	6251	AB244976	2264	2518	2787	3050	3315	3561	3824	4126	4495	4968	6649
AB254848	1	2756	30.62409289	rep_cluster_1017	AB254848	-	-	-	-	-	-	Non-mobilizable	AB254848	0	550	AB254848	2264	2518	2787	3127	3568	4055	4513	5009	5572	6243	8666
AB366441	1	61571	53.76232317	IncN	000155__CP018649	MOBF	NC_015599_00019	MPF_T	NC_009131_00030,NC_011617_00041,NC_014368_00014,NC_007682_00044,NC_008612_00190,NC_022375_00024	MOBF	NZ_CP013027	Conjugative	AB366441	0	140	AB366441	2264	2518	2787	3127	3568	4168	4898	5723	6826	8379	14163
AB370334	1	1815	37.24517906	Inc11	000036__NC_012548_00002	-	-	-	-	-	-	Non-mobilizable	AB370334	0	4793	AB370334	2264	2518	2787	3125	3418	3696	3997	4331	4732	5259	7068
AB539725	1	2908	29.36726272	rep_cluster_1230	000530__NC_010626_00002	-	-	-	-	-	-	Non-mobilizable	AB539725	0	576	AB539725	2264	2518	2787	3127	3553	3967	4396	4867	5393	5995	8130
AB588180	1	21231	36.06989779	rep_cluster_1618	001002__NC_015261_00002	MOBQ	NC_015257_00005	-	-	-	-	Mobilizable	AB588180	0	3595	AB588180	2249	2439	2604	2786	2984	3159	3350	3593	3899	4297	5566
AB597522	1	113463	69.69584799	rep_cluster_1915	001355__NC_004808_00101	MOBF	AB597522_00122	-	-	-	-	Mobilizable	AB597522	0	2424	AB597522	875	918	938	983	1023	1062	1111	1162	1199	1263	1559
AB616660	1	47236	50.99288678	IncN	000155__CP018649	MOBF	NC_015599_00019	MPF_T	NC_009131_00030,NC_011617_00041,NC_014368_00014,NC_007682_00044,NC_008612_00190,NC_022375_00024	MOBF	NZ_CP016498	Conjugative	AB616660	0	915	AB616660	2264	2518	2787	3127	3568	4168	4898	5723	6826	8371	14056
AB702969	1	165311	49.51757596	IncFIA	000136__AP014877_00014	MOBF	NC_022333_00006	MPF_F	NC_009787_00004,NZ_AGTD01000004_00104,NC_021871_00015,NC_022333_00014,NZ_AGTD01000004_00099,NC_021817_00023,NZ_AGTD01000004_00096,NZ_AGTD01000004_00094,NC_022333_00021,NZ_AGTD01000004_00091	-	-	Conjugative	AB702969	0	2382	AB702969	2264	2518	2787	3127	3568	4168	4898	5663	6520	7583	11636
AB715422	1	87343	53.2475413	IncL/M	U27345	MOBP	NC_004464_00056	MPF_I	NC_004464_00105,NC_005246_00057,NC_019063_00094,NC_019344_00078,NC_004464_00066,NC_004464_00068,NC_019154_00069,NC_005246_00069,NC_004464_00073	-	-	Conjugative	AB715422	0	1070	AB715422	2264	2518	2787	3127	3568	4168	4898	5723	6692	7885	12466
AB723628	1	31713	55.62072336	-	-	-	-	-	-	-	-	Non-mobilizable	AB723628	0	888	AB723628	2264	2518	2787	3127	3568	4168	4898	5737	6969	8743	15073
AB852526	1	59534	64.49927772	IncP	000177__AB237782_00014	MOBP	NC_001735_00050	MPF_T	NC_001735_00049,NC_008459_00022,NC_004956_00085,NC_007353_00043	MOBP	KU302802	Conjugative	AB852526	0	131	AB852526	2264	2518	2787	3122	3414	3692	3986	4314	4711	5232	7040
AB855771	1	265575	25.47905488	rep_cluster_1536	000900__AB855771_00213	-	-	MPF_T	NC_010418_00318,NC_012654_00215,NZ_AOSX01000021_00203	-	-	Non-mobilizable	AB855771	0	4922	AB855771	581	605	613	636	656	679	708	735	752	795	1023
AB856327	1	160406	42.58444198	rep_cluster_1134	000413__KX957972	MOBH	NC_016983_00061	MPF_F	NC_016983_00062,NC_016983_00068,NC_016983_00069,NC_016983_00071,NC_016983_00076,NC_016983_00079,NC_016983_00081,NC_016983_00200	-	-	Conjugative	AB856327	0	4210	AB856327	2264	2518	2727	2938	3164	3374	3598	3869	4209	4640	6155
AB893594	1	5420	62.34317343	rep_cluster_1626	001016__AP008933_00001	-	-	-	-	-	-	Non-mobilizable	AB893594	0	5400	AB893594	844	887	904	949	986	1024	1073	1124	1160	1221	1516
AB905437	1	17526	69.68503937	rep_cluster_249	001526__AB905437_00009	-	-	-	-	-	-	Non-mobilizable	AB905437	0	8140	AB905437	3497	3854	4227	4699	5275	5974	6800	7713	8948	10725	17065
AB910391	1	21001	27.14632637	rep_cluster_958	002439__AB910391_00009	-	-	-	-	-	-	Non-mobilizable	AB910391	0	4125	AB910391	486	499	505	521	537	554	576	594	608	628	810
AB910520	1	21001	27.15108804	rep_cluster_958	002439__AB910391_00009	-	-	-	-	-	-	Non-mobilizable	AB910520	0	4125	AB910520	486	499	505	521	537	554	576	594	608	628	811
AB914479	1	27115	35.31255762	rep_cluster_1618,rep_cluster_1328	001002__NC_015261_00002,000647__CP018212_00009	MOBQ	NC_015257_00005	-	-	-	-	Mobilizable	AB914479	0	3593	AB914479	2249	2439	2604	2786	2984	3159	3349	3592	3898	4295	5563
AB914743	1	28689	35.6129527	rep_cluster_1618,rep_cluster_1328	001002__NC_015261_00002,000647__CP018212_00009	MOBQ	NC_015257_00005	-	-	-	-	Mobilizable	AB914743	0	3593	AB914743	2249	2439	2604	2786	2984	3159	3349	3592	3898	4295	5564
